epoch,train_loss,val_loss,val_bal_acc,fold,test_path,val_path
24,0.8695118086678642,1.2068150341510773,0.537112831361558,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
25,0.8685018718242645,1.209812343120575,0.5500256577824489,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
26,0.8699567786284855,1.2367170453071594,0.5472136883427206,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
27,0.8602370875222343,1.223734736442566,0.5454097834191212,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
28,0.8452692202159336,1.2337215840816498,0.5300451509598368,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
29,0.8362525616373334,1.231292486190796,0.5203471267775173,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
30,0.8275411256722042,1.2463447451591492,0.5376636034530771,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
31,0.8182525081293923,1.2404221296310425,0.527182090530987,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
32,0.8327572558607373,1.2851734459400177,0.5128333827400041,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
33,0.7964367483343396,1.2574678361415863,0.5333385547201337,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
34,0.8165970231805529,1.278205692768097,0.5200214919017976,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
35,0.7847659587860107,1.281029462814331,0.5194123301084252,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
36,0.7901823648384639,1.2825240194797516,0.5182175869781982,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
37,0.7849807270935604,1.3188659250736237,0.510153070849166,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
38,0.7799794759069171,1.3044329583644867,0.5267596073517127,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
39,0.775381190436227,1.322594404220581,0.4828252867832664,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
40,0.765901654958725,1.2998718619346619,0.4928528759173921,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
41,0.7818272284099034,1.319894701242447,0.47834106996882886,0,Almacen-Laboratorio_J,Cuarto_O-Laboratorio_M
1,1.371796215281767,1.342460076014201,0.3441286061926519,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
2,1.3177302304436178,1.322719693183899,0.3390566313838349,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
3,1.2706922923817354,1.3075889150301616,0.35446373889620564,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
4,1.2316470426671646,1.2986006538073223,0.3548011208125349,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
5,1.2031223563586964,1.2970844109853108,0.3996729156843297,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
6,1.1823497239281149,1.2778190175692241,0.4571010086228856,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
7,1.1579474631477804,1.275940716266632,0.4649076738804069,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
8,1.1438160643858069,1.2781313955783844,0.4801030031055396,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
9,1.1205892422619987,1.2736162940661113,0.47899153970809016,1,Cuarto_O-Laboratorio_M,Cubiculo_13-Laboratorio_I
